obs,year,month,day,date,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,s.s.temp.,buoy_label
5848,1983,12,21,1983-12-21,-0.04,-124.54,-4.8,-1.2,,23.14,,0
5849,1983,12,22,1983-12-22,-0.04,-124.54,-6.2,-0.3,,23.51,,0
5850,1983,12,23,1983-12-23,-0.04,-124.54,-5.5,0.2,,23.64,,0
5851,1983,12,24,1983-12-24,-0.04,-124.54,-5.5,0.0,,23.45,,0
5852,1983,12,25,1983-12-25,-0.04,-124.54,-4.0,-0.5,,23.05,,0
5853,1983,12,26,1983-12-26,-0.04,-124.54,-3.7,0.7,,23.06,,0
5854,1983,12,27,1983-12-27,-0.04,-124.54,-2.5,0.4,,23.17,,0
5855,1983,12,28,1983-12-28,-0.04,-124.54,-4.8,1.1,,22.95,,0
5856,1983,12,29,1983-12-29,-0.04,-124.54,-4.1,0.7,,22.52,,0
5857,1983,12,30,1983-12-30,-0.04,-124.54,-2.9,1.3,,22.37,,0
5858,1983,12,31,1983-12-31,-0.04,-124.54,-2.4,1.2,,22.15,,0
5859,1984,1,1,1984-01-01,-0.04,-124.54,-2.2,1.5,,21.87,,0
5860,1984,1,2,1984-01-02,-0.04,-124.54,-2.6,0.8,,22.24,,0
5861,1984,1,3,1984-01-03,-0.04,-124.54,-2.5,1.0,,22.48,,0
5862,1984,1,4,1984-01-04,-0.04,-124.54,-3.3,1.1,,22.93,,0
5863,1984,1,5,1984-01-05,-0.04,-124.54,-3.4,1.2,,23.02,,0
5864,1984,1,6,1984-01-06,-0.04,-124.54,-3.3,0.8,,23.35,,0
5865,1984,1,7,1984-01-07,-0.04,-124.54,-4.5,2.2,,23.5,,0
5866,1984,1,8,1984-01-08,-0.04,-124.54,-4.7,2.0,,23.24,,0
5867,1984,1,9,1984-01-09,-0.04,-124.54,-4.9,1.8,,23.11,,0
5868,1984,1,10,1984-01-10,-0.04,-124.54,-2.8,1.0,,22.67,,0
5869,1984,1,11,1984-01-11,-0.04,-124.54,-2.8,0.9,,22.81,,0
5870,1984,1,12,1984-01-12,-0.04,-124.54,-3.7,1.1,,22.43,,0
5871,1984,1,13,1984-01-13,-0.04,-124.54,-3.1,0.0,,22.32,,0
5872,1984,1,14,1984-01-14,-0.04,-124.54,-3.6,-1.0,,22.42,,0
5873,1984,1,15,1984-01-15,-0.04,-124.54,-4.1,0.4,,22.4,,0
5874,1984,1,16,1984-01-16,-0.04,-124.54,-2.7,1.7,,22.52,,0
5875,1984,1,17,1984-01-17,-0.04,-124.54,-3.4,0.7,,23.1,,0
5876,1984,1,18,1984-01-18,-0.04,-124.54,-4.8,-0.4,,23.18,,0
5877,1984,1,19,1984-01-19,-0.04,-124.54,-5.8,0.1,,22.98,,0
5878,1984,1,20,1984-01-20,-0.04,-124.54,-4.4,0.4,,22.89,,0
5879,1984,1,21,1984-01-21,-0.04,-124.54,-3.7,-0.7,,22.94,,0
5880,1984,1,22,1984-01-22,-0.04,-124.54,-3.5,-1.0,,22.81,,0
5881,1984,1,23,1984-01-23,-0.04,-124.54,-3.3,1.5,,22.89,,0
5882,1984,1,24,1984-01-24,-0.04,-124.54,-2.3,1.5,,23.04,,0
5883,1984,1,25,1984-01-25,-0.04,-124.54,-0.9,1.0,,23.51,,0
5884,1984,1,26,1984-01-26,-0.04,-124.54,-2.1,1.3,,23.81,,0
5885,1984,1,27,1984-01-27,-0.04,-124.54,-3.0,0.5,,23.61,,0
5886,1984,1,28,1984-01-28,-0.04,-124.54,-4.1,0.2,,23.55,,0
5887,1984,1,29,1984-01-29,-0.04,-124.54,-3.9,0.8,,23.57,,0
5888,1984,1,30,1984-01-30,-0.04,-124.54,-3.3,0.7,,23.87,,0
5889,1984,1,31,1984-01-31,-0.04,-124.54,-4.3,1.5,,24.03,,0
5890,1984,2,1,1984-02-01,-0.04,-124.54,-4.1,0.9,,23.84,,0
5891,1984,2,2,1984-02-02,-0.04,-124.54,-3.1,0.2,,23.66,,0
5892,1984,2,3,1984-02-03,-0.04,-124.54,-3.9,0.5,,23.54,,0
5893,1984,2,4,1984-02-04,-0.04,-124.54,-3.5,-0.1,,23.58,,0
5894,1984,2,5,1984-02-05,-0.04,-124.54,-4.3,-0.1,,23.57,,0
5895,1984,2,6,1984-02-06,-0.04,-124.54,-3.5,0.6,,23.47,,0
5896,1984,2,7,1984-02-07,-0.04,-124.54,-3.7,0.7,,23.25,,0
5897,1984,2,8,1984-02-08,-0.04,-124.54,-2.3,0.5,,23.15,,0
5898,1984,2,9,1984-02-09,-0.04,-124.54,-3.0,0.3,,23.37,,0
5899,1984,2,10,1984-02-10,-0.04,-124.54,-2.4,0.9,,23.65,,0
5900,1984,2,11,1984-02-11,-0.04,-124.54,-0.7,1.4,,23.92,,0
5901,1984,2,12,1984-02-12,-0.04,-124.54,1.5,0.1,,24.47,,0
5902,1984,2,13,1984-02-13,-0.04,-124.54,1.3,-1.3,,24.69,,0
5903,1984,2,14,1984-02-14,-0.04,-124.54,0.9,-0.9,,24.96,,0
5904,1984,2,15,1984-02-15,-0.04,-124.54,0.2,1.1,,25.24,,0
5905,1984,2,16,1984-02-16,-0.04,-124.54,-1.1,2.1,,25.4,,0
5906,1984,2,17,1984-02-17,-0.04,-124.54,-2.2,0.8,,25.84,,0
5907,1984,2,18,1984-02-18,-0.04,-124.54,-1.8,-0.2,,26.41,,0
5908,1984,2,19,1984-02-19,-0.04,-124.54,0.0,0.1,,26.65,,0
5909,1984,2,20,1984-02-20,-0.04,-124.54,0.9,1.9,,26.88,,0
5910,1984,2,21,1984-02-21,-0.04,-124.54,-0.1,1.3,,26.95,,0
5911,1984,2,22,1984-02-22,-0.04,-124.54,-0.6,-0.8,,26.86,,0
5912,1984,2,23,1984-02-23,-0.04,-124.54,-1.0,-2.0,,26.72,,0
5913,1984,2,24,1984-02-24,-0.04,-124.54,-1.6,0.9,,26.19,,0
5914,1984,2,25,1984-02-25,-0.04,-124.54,-0.6,2.5,,26.21,,0
5915,1984,2,26,1984-02-26,-0.04,-124.54,1.3,1.5,,25.57,,0
5916,1984,2,27,1984-02-27,-0.04,-124.54,0.9,-1.7,,26.19,,0
5917,1984,2,28,1984-02-28,-0.04,-124.54,0.2,-1.9,,26.84,,0
5918,1984,2,29,1984-02-29,-0.04,-124.54,-1.4,1.3,,26.87,,0
5919,1984,3,1,1984-03-01,-0.04,-124.54,-2.3,1.0,,27.07,,0
5920,1984,3,2,1984-03-02,-0.04,-124.54,0.8,0.7,,25.81,,0
5921,1984,3,3,1984-03-03,-0.04,-124.54,0.6,-1.1,,25.99,,0
5922,1984,3,4,1984-03-04,-0.04,-124.54,-1.4,-1.5,,27.09,,0
5923,1984,3,5,1984-03-05,-0.04,-124.54,-0.2,1.7,,27.65,,0
5924,1984,3,6,1984-03-06,-0.04,-124.54,-1.2,0.9,,27.45,,0
5925,1984,3,7,1984-03-07,-0.04,-124.54,-1.3,0.4,,27.28,,0
5926,1984,3,8,1984-03-08,-0.04,-124.54,-3.3,-0.7,,27.13,,0
5927,1984,3,9,1984-03-09,-0.04,-124.54,-4.2,-0.4,,26.39,,0
5928,1984,3,10,1984-03-10,-0.04,-124.54,-3.7,0.9,,26.41,,0
5929,1984,3,11,1984-03-11,-0.04,-124.54,-2.8,0.8,,26.31,,0
5930,1984,3,12,1984-03-12,-0.04,-124.54,-1.1,-1.2,,26.5,,0
5931,1984,3,13,1984-03-13,-0.04,-124.54,-1.0,0.6,,26.92,,0
5932,1984,3,14,1984-03-14,-0.04,-124.54,-1.7,0.6,,26.51,,0
5933,1984,3,15,1984-03-15,-0.04,-124.54,-2.8,-0.5,,26.18,,0
5934,1984,3,16,1984-03-16,-0.04,-124.54,-2.6,-0.8,,25.97,,0
5935,1984,3,17,1984-03-17,-0.04,-124.54,-2.4,-0.5,,26.02,,0
5936,1984,3,18,1984-03-18,-0.04,-124.54,-3.3,0.3,,26.0,,0
5937,1984,3,19,1984-03-19,-0.04,-124.54,-2.4,-0.1,,25.84,,0
5938,1984,3,20,1984-03-20,-0.04,-124.54,-2.6,-1.5,,25.88,,0
5939,1984,3,21,1984-03-21,-0.04,-124.54,-2.1,-1.1,,25.99,,0
5940,1984,3,22,1984-03-22,-0.04,-124.54,-3.2,0.4,,26.31,,0
5941,1984,3,23,1984-03-23,-0.04,-124.54,-3.6,0.0,,25.52,,0
5942,1984,3,24,1984-03-24,-0.04,-124.54,-2.8,-0.9,,25.13,,0
5943,1984,3,25,1984-03-25,-0.04,-124.54,-1.4,-1.3,,25.2,,0
5944,1984,3,26,1984-03-26,-0.04,-124.54,-0.4,-1.1,,25.67,,0
5945,1984,3,27,1984-03-27,-0.04,-124.54,-0.5,-0.1,,26.05,,0
5946,1984,3,28,1984-03-28,-0.04,-124.54,-1.5,0.9,,25.8,,0
5947,1984,3,29,1984-03-29,-0.04,-124.54,0.2,1.5,,26.13,,0
5948,1984,3,30,1984-03-30,-0.04,-124.54,-1.0,-0.1,,26.58,,0
5949,1984,3,31,1984-03-31,-0.04,-124.54,-0.9,-0.9,,26.61,,0
5950,1984,4,1,1984-04-01,-0.04,-124.54,0.1,-0.9,,26.89,,0
5951,1984,4,2,1984-04-02,-0.04,-124.54,-0.8,-1.4,,26.63,,0
5952,1984,4,3,1984-04-03,-0.04,-124.54,0.1,-0.9,,26.36,,0
5953,1984,4,4,1984-04-04,-0.04,-124.54,1.6,2.1,,26.43,,0
5954,1984,4,5,1984-04-05,-0.04,-124.54,1.2,0.0,,26.13,,0
5955,1984,4,6,1984-04-06,-0.04,-124.54,0.6,-1.6,,27.31,,0
5956,1984,4,7,1984-04-07,-0.04,-124.54,-0.5,0.4,,27.21,,0
5957,1984,4,8,1984-04-08,-0.04,-124.54,-1.9,1.4,,27.4,,0
5958,1984,4,9,1984-04-09,-0.04,-124.54,-1.4,-0.6,,27.43,,0
5959,1984,4,10,1984-04-10,-0.04,-124.54,-1.8,-2.0,,27.4,,0
5960,1984,4,11,1984-04-11,-0.04,-124.54,0.0,2.0,,27.25,,0
5961,1984,4,12,1984-04-12,-0.04,-124.54,0.2,0.9,,27.28,,0
5962,1984,4,13,1984-04-13,-0.04,-124.54,-1.6,-0.1,,27.56,,0
5963,1984,4,14,1984-04-14,-0.04,-124.54,-2.6,0.0,,27.19,,0
5964,1984,4,15,1984-04-15,-0.04,-124.54,-3.1,0.9,,26.68,,0
5965,1984,4,16,1984-04-16,-0.04,-124.54,-1.8,-0.1,,26.36,,0
5966,1984,4,17,1984-04-17,-0.04,-124.54,-0.6,0.9,,26.37,,0
5967,1984,4,18,1984-04-18,-0.04,-124.54,-1.6,-0.7,,26.51,,0
5968,1984,4,19,1984-04-19,-0.04,-124.54,-3.7,0.8,,26.39,,0
5969,1984,4,20,1984-04-20,-0.04,-124.54,-2.3,0.4,,25.91,,0
5970,1984,4,21,1984-04-21,-0.04,-124.54,0.1,0.2,,25.6,,0
5971,1984,4,22,1984-04-22,-0.04,-124.54,-0.6,-0.8,,25.65,,0
5972,1984,4,23,1984-04-23,-0.03,-124.54,-2.0,0.4,,25.41,25.66,0
5973,1984,4,24,1984-04-24,-0.03,-124.54,-0.7,2.0,,25.73,25.79,0
5974,1984,4,25,1984-04-25,-0.03,-124.54,-1.5,-0.3,,25.83,26.01,0
5975,1984,4,26,1984-04-26,-0.03,-124.54,-2.8,-0.7,,25.58,25.88,0
5976,1984,4,27,1984-04-27,-0.03,-124.54,-2.3,-1.0,,25.49,25.9,0
5977,1984,4,28,1984-04-28,-0.03,-124.54,-3.0,-0.8,,25.66,26.09,0
5978,1984,4,29,1984-04-29,-0.03,-124.54,-2.9,1.4,,25.75,26.2,0
5979,1984,4,30,1984-04-30,-0.03,-124.54,-1.9,-0.6,,25.76,26.34,0
5980,1984,5,1,1984-05-01,-0.03,-124.54,-3.8,-0.4,,25.88,26.25,0
5981,1984,5,2,1984-05-02,-0.03,-124.54,-4.2,0.7,,25.59,26.07,0
5982,1984,5,3,1984-05-03,-0.03,-124.54,-4.6,1.0,,25.54,25.87,0
5983,1984,5,4,1984-05-04,-0.03,-124.54,-2.2,1.4,,25.5,25.94,0
5984,1984,5,5,1984-05-05,-0.03,-124.54,-1.3,0.8,,25.84,26.45,0
5985,1984,5,6,1984-05-06,-0.03,-124.54,-0.9,0.8,,25.98,26.68,0
5986,1984,5,7,1984-05-07,-0.03,-124.54,-1.9,0.7,,26.24,26.77,0
5987,1984,5,8,1984-05-08,-0.03,-124.54,-4.8,-0.9,,25.77,26.36,0
5988,1984,5,9,1984-05-09,-0.03,-124.54,-5.6,-0.3,,25.54,25.84,0
5989,1984,5,10,1984-05-10,-0.03,-124.54,-3.5,0.7,,25.02,25.32,0
5990,1984,5,11,1984-05-11,-0.03,-124.54,-1.3,1.0,,24.86,25.36,0
5991,1984,5,12,1984-05-12,-0.03,-124.54,-1.9,1.2,,25.2,25.72,0
5992,1984,5,13,1984-05-13,-0.03,-124.54,-4.8,1.2,,25.19,25.47,0
5993,1984,5,14,1984-05-14,-0.03,-124.54,-4.8,0.3,,25.2,25.3,0
5994,1984,5,15,1984-05-15,-0.03,-124.54,-2.9,0.5,,24.52,24.68,0
5995,1984,5,16,1984-05-16,-0.03,-124.54,-2.0,0.6,,24.16,24.74,0
5996,1984,5,17,1984-05-17,-0.03,-124.54,-1.5,0.6,,24.27,25.0,0
5997,1984,5,18,1984-05-18,-0.03,-124.54,-3.2,0.0,,24.66,24.84,0
5998,1984,5,19,1984-05-19,-0.03,-124.54,-3.7,0.4,,24.61,24.79,0
5999,1984,5,20,1984-05-20,-0.03,-124.54,-2.2,0.7,,24.62,24.9,0
6000,1984,5,21,1984-05-21,-0.03,-124.54,0.6,-0.3,,24.53,25.1,0
6001,1984,5,22,1984-05-22,-0.03,-124.54,-2.7,0.2,,24.9,25.04,0
6002,1984,5,23,1984-05-23,-0.03,-124.54,-4.1,2.1,,24.24,24.34,0
6003,1984,5,24,1984-05-24,-0.03,-124.54,-2.8,2.0,,24.26,24.41,0
6004,1984,5,25,1984-05-25,-0.03,-124.54,-1.9,0.3,,24.73,24.99,0
6005,1984,5,26,1984-05-26,-0.03,-124.54,-5.0,0.7,,25.16,25.24,0
6006,1984,5,27,1984-05-27,-0.03,-124.54,-4.8,1.4,,24.55,25.03,0
6007,1984,5,28,1984-05-28,-0.03,-124.54,-4.9,0.9,,24.02,24.72,0
6008,1984,5,29,1984-05-29,-0.03,-124.54,-4.7,-0.2,,23.87,24.18,0
6009,1984,5,30,1984-05-30,-0.03,-124.54,-4.0,-1.1,,23.91,24.0,0
6010,1984,5,31,1984-05-31,-0.03,-124.54,-2.9,-1.1,,23.85,24.06,0
6011,1984,6,1,1984-06-01,-0.03,-124.54,-3.7,0.2,,23.41,23.61,0
6012,1984,6,2,1984-06-02,-0.03,-124.54,-3.6,0.6,,22.91,22.8,0
6013,1984,6,3,1984-06-03,-0.03,-124.54,-3.6,0.1,,22.79,22.61,0
6014,1984,6,4,1984-06-04,-0.03,-124.54,-3.6,-1.5,,22.69,22.57,0
6015,1984,6,5,1984-06-05,-0.03,-124.54,-3.1,-2.0,,22.5,22.55,0
6016,1984,6,6,1984-06-06,-0.03,-124.54,-2.3,-0.2,,22.49,22.52,0
6017,1984,6,7,1984-06-07,-0.03,-124.54,-2.0,-0.9,,22.58,22.62,0
6018,1984,6,8,1984-06-08,-0.03,-124.54,-2.6,-1.6,,22.7,22.5,0
6019,1984,6,9,1984-06-09,-0.03,-124.54,-1.6,0.1,,22.4,22.38,0
6020,1984,6,10,1984-06-10,-0.03,-124.54,-1.1,-0.8,,22.61,22.61,0
6021,1984,6,11,1984-06-11,-0.03,-124.54,-1.0,0.1,,22.61,22.79,0
6022,1984,6,12,1984-06-12,-0.03,-124.54,-2.3,1.2,,22.77,22.91,0
6023,1984,6,13,1984-06-13,-0.03,-124.54,-2.7,1.5,,23.02,23.19,0
6024,1984,6,14,1984-06-14,-0.03,-124.54,-3.3,2.0,,23.22,23.3,0
6025,1984,6,15,1984-06-15,-0.03,-124.54,-3.1,0.9,,23.21,23.08,0
6026,1984,6,16,1984-06-16,-0.03,-124.54,-4.7,-0.5,,22.95,22.93,0
6027,1984,6,17,1984-06-17,-0.03,-124.54,-4.6,0.0,,22.7,22.79,0
6028,1984,6,18,1984-06-18,-0.03,-124.54,-3.9,1.4,,22.53,22.65,0
6029,1984,6,19,1984-06-19,-0.03,-124.54,-2.3,-0.4,,22.61,22.74,0
6030,1984,6,20,1984-06-20,-0.03,-124.54,-1.9,-0.4,,22.92,22.82,0
6031,1984,6,21,1984-06-21,-0.03,-124.54,-4.5,-0.6,,22.91,22.85,0
6032,1984,6,22,1984-06-22,-0.03,-124.54,-4.8,0.5,,22.58,22.56,0
6033,1984,6,23,1984-06-23,-0.03,-124.54,-3.8,0.2,,22.46,22.54,0
6034,1984,6,24,1984-06-24,-0.03,-124.54,-3.5,0.4,,22.9,22.97,0
6035,1984,6,25,1984-06-25,-0.03,-124.54,-3.0,1.1,,23.29,23.28,0
6036,1984,6,26,1984-06-26,-0.03,-124.54,-3.5,1.0,,23.47,23.44,0
6037,1984,6,27,1984-06-27,-0.03,-124.54,-3.9,0.9,,23.54,23.67,0
6038,1984,6,28,1984-06-28,-0.03,-124.54,-4.8,2.6,,23.6,23.67,0
6039,1984,6,29,1984-06-29,-0.03,-124.54,-6.3,1.6,,23.66,23.79,0
6040,1984,6,30,1984-06-30,-0.03,-124.54,-6.6,0.8,,23.64,23.87,0
6041,1984,7,1,1984-07-01,-0.03,-124.54,-4.8,-0.2,,23.45,23.8,0
6042,1984,7,2,1984-07-02,-0.03,-124.54,-4.5,0.2,,23.4,23.63,0
6043,1984,7,3,1984-07-03,-0.03,-124.54,-5.4,1.7,,22.81,23.0,0
6044,1984,7,4,1984-07-04,-0.03,-124.54,-5.2,0.8,,22.52,22.36,0
6045,1984,7,5,1984-07-05,-0.03,-124.54,-3.8,0.9,,22.44,22.37,0
6046,1984,7,6,1984-07-06,-0.03,-124.54,-3.9,0.8,,22.71,22.82,0
6047,1984,7,7,1984-07-07,-0.03,-124.54,-4.9,2.5,,22.97,23.25,0
6048,1984,7,8,1984-07-08,-0.03,-124.54,-4.5,1.9,,22.99,23.2,0
6049,1984,7,9,1984-07-09,-0.03,-124.54,-5.2,1.5,,23.01,23.11,0
6050,1984,7,10,1984-07-10,-0.03,-124.54,-5.6,1.4,,22.95,23.4,0
6051,1984,7,11,1984-07-11,-0.03,-124.54,-5.9,2.1,,22.87,23.16,0
6052,1984,7,12,1984-07-12,-0.03,-124.54,-6.0,0.8,,22.76,23.1,0
6053,1984,7,13,1984-07-13,-0.03,-124.54,-4.8,0.4,,22.86,23.22,0
6054,1984,7,14,1984-07-14,-0.03,-124.54,-5.1,0.1,,22.8,23.41,0
6055,1984,7,15,1984-07-15,-0.03,-124.54,-6.0,0.4,,22.72,23.11,0
6056,1984,7,16,1984-07-16,-0.03,-124.54,-4.7,1.1,,22.84,23.2,0
6057,1984,7,17,1984-07-17,-0.03,-124.54,-2.5,0.5,,23.13,23.49,0
6058,1984,7,18,1984-07-18,-0.03,-124.54,-4.5,0.5,,23.35,23.6,0
6059,1984,7,19,1984-07-19,-0.03,-124.54,-5.1,1.8,,22.98,23.19,0
6060,1984,7,20,1984-07-20,-0.03,-124.54,-5.4,0.3,,22.69,22.7,0
6061,1984,7,21,1984-07-21,-0.03,-124.54,-4.9,1.1,,22.53,22.66,0
6062,1984,7,22,1984-07-22,-0.03,-124.54,-4.9,2.3,,22.74,22.77,0
6063,1984,7,23,1984-07-23,-0.03,-124.54,-5.2,2.2,,22.91,22.95,0
6064,1984,7,24,1984-07-24,-0.03,-124.54,-4.0,2.2,,22.96,22.88,0
6065,1984,7,25,1984-07-25,-0.03,-124.54,-3.7,2.6,,23.05,23.08,0
6066,1984,7,26,1984-07-26,-0.03,-124.54,-3.1,2.0,,23.1,23.17,0
6067,1984,7,27,1984-07-27,-0.03,-124.54,-3.5,2.2,,23.24,23.25,0
6068,1984,7,28,1984-07-28,-0.03,-124.54,-3.5,1.2,,23.41,23.5,0
6069,1984,7,29,1984-07-29,-0.03,-124.54,-4.1,0.1,,23.42,23.64,0
6070,1984,7,30,1984-07-30,-0.03,-124.54,-4.4,2.0,,23.31,23.51,0
6071,1984,7,31,1984-07-31,-0.03,-124.54,-3.1,0.9,,23.41,23.89,0
6072,1984,8,1,1984-08-01,-0.03,-124.54,-4.6,1.1,,23.52,24.09,0
6073,1984,8,2,1984-08-02,-0.03,-124.54,-6.6,0.8,,23.72,24.04,0
6074,1984,8,3,1984-08-03,-0.03,-124.54,-6.9,2.0,,23.83,24.07,0
6075,1984,8,4,1984-08-04,-0.03,-124.54,-7.3,1.5,,23.85,24.06,0
6076,1984,8,5,1984-08-05,-0.03,-124.54,-6.9,1.2,,23.55,24.02,0
6077,1984,8,6,1984-08-06,-0.03,-124.54,-6.3,2.8,,23.3,23.78,0
6078,1984,8,7,1984-08-07,-0.03,-124.54,-4.2,1.5,,23.01,23.44,0
6079,1984,8,8,1984-08-08,-0.03,-124.54,-4.8,2.4,,22.76,23.14,0
6080,1984,8,9,1984-08-09,-0.03,-124.54,-4.8,3.5,,22.81,23.09,0
6081,1984,8,10,1984-08-10,-0.03,-124.54,-6.4,2.3,,22.83,23.24,0
6082,1984,8,11,1984-08-11,-0.03,-124.54,-5.3,2.6,,23.04,23.81,0
6083,1984,8,12,1984-08-12,-0.03,-124.54,-4.8,5.1,,23.48,24.17,0
6084,1984,8,13,1984-08-13,-0.03,-124.54,-6.3,2.9,,23.52,24.11,0
6085,1984,8,14,1984-08-14,-0.03,-124.54,-5.9,0.5,,23.08,23.95,0
6086,1984,8,15,1984-08-15,-0.03,-124.54,-5.4,1.5,,23.1,23.75,0
6087,1984,8,16,1984-08-16,-0.03,-124.54,-5.8,1.2,,23.13,23.61,0
6088,1984,8,17,1984-08-17,-0.03,-124.54,-4.9,1.9,,22.72,23.14,0
6089,1984,8,18,1984-08-18,-0.03,-124.54,-3.3,1.4,,22.33,22.25,0
6090,1984,8,19,1984-08-19,-0.03,-124.54,-3.8,1.4,,22.79,22.74,0
6091,1984,8,20,1984-08-20,-0.03,-124.54,-3.1,1.3,,22.92,23.13,0
6092,1984,8,21,1984-08-21,-0.03,-124.54,-3.6,3.2,,23.28,23.35,0
6093,1984,8,22,1984-08-22,-0.03,-124.54,-5.1,2.9,,23.53,23.57,0
6094,1984,8,23,1984-08-23,-0.03,-124.54,-6.3,3.8,,23.58,23.82,0
6095,1984,8,24,1984-08-24,-0.03,-124.54,-6.3,3.5,,23.49,23.94,0
6096,1984,8,25,1984-08-25,-0.03,-124.54,-6.0,3.0,,22.94,23.66,0
6097,1984,8,26,1984-08-26,-0.03,-124.54,-3.5,3.0,,22.67,22.73,0
6098,1984,8,27,1984-08-27,-0.03,-124.54,-4.3,3.1,,22.79,23.13,0
6099,1984,8,28,1984-08-28,-0.03,-124.54,-5.6,1.9,,22.77,23.11,0
6100,1984,8,29,1984-08-29,-0.03,-124.54,-6.2,1.1,,22.91,23.07,0
